Industry Name,Number of firms,EV/EBITDAR&D,EV/EBITDA,EV/EBIT,EV/EBIT (1-t)
Advertising,3,19.62068966,19.62068966,38.4577573,104.3707277
Aerospace/Defense,4,19.7521304,19.77232193,22.52875956,30.20564342
Air Transport,6,6.14139001,6.14139001,11.39413108,12.99783651
Apparel,314,9.629156229,9.699330573,18.45046699,26.67598563
Auto & Truck,12,7.930070713,9.792721632,13.29050352,18.1423465
Auto Parts,95,11.46591615,11.70367667,17.76648211,25.07457617
Beverage (Alcoholic),19,20.00916994,20.08006173,29.10404694,40.69238407
Beverage (Soft),3,11.99347691,11.99347691,22.38575921,37.50486318
Broadcasting,15,19.49858427,19.49858427,22.5118409,34.82776257
Building Materials,44,10.30750707,10.46414619,14.0671917,19.63725363
Business & Consumer Services,21,18.83525989,18.85241078,22.9215066,30.38282441
Cable TV,7,8.828797195,8.828797195,27.80997882,31.0107347
Chemical (Basic),126,11.14989861,11.2467749,14.91180292,20.94671167
Chemical (Diversified),12,14.645531,15.08263061,18.81632854,24.71067317
Chemical (Specialty),128,12.68884431,12.91192555,16.9801624,23.49569131
Coal & Related Energy,5,9.27489169,9.280102115,11.14900161,17.23216631
Computer Services,104,11.14681764,11.91605611,13.62875577,18.00230726
Construction Supplies,88,12.74258947,12.95239028,19.12287146,26.72233238
Diversified,13,7.811937317,7.814450387,11.63539046,15.72531631
Drugs (Biotechnology),8,12.90758755,18.40872705,27.15072547,33.54048383
Drugs (Pharmaceutical),132,12.66499403,15.921303,19.99841854,26.05118618
Electrical Equipment,82,14.84839731,15.64863489,38.61243469,68.62934593
Electronics (Consumer & Office),7,2.8524547,2.865345517,8.721526985,8.717816513
Electronics (General),22,18.25554525,19.21738547,26.35728214,36.15844092
Engineering/Construction,121,11.44490591,11.52230725,17.35661716,23.54584101
Environmental & Waste Services,5,5.837884432,6.064657031,8.226922044,10.51327176
Farming/Agriculture,39,11.03468013,11.28947005,17.5505473,20.5185508
Financial Svcs. (Non-bank & Insurance),187,171.0849419,171.085119,179.8060543,0
Food Processing,163,12.74076787,12.84218821,18.99906053,27.07525695
Furn/Home Furnishings,26,19.95319264,20.84042562,21.51679081,32.06339791
Green & Renewable Energy,15,4.847669417,4.847978403,7.212700397,8.842589721
Healthcare Support Services,11,29.50675241,29.62481502,35.99214286,53.77641642
Heathcare Information and Technology,12,13.23643148,13.4343288,18.68999124,23.08964041
Hospitals/Healthcare Facilities,17,22.94809104,22.94809104,61.8146071,93.50141339
Hotel/Gaming,53,12.45484731,12.45502444,25.59403066,36.38980667
Household Products,32,28.68543389,28.80338998,32.11288816,44.21098702
Information Services,15,12.43480542,12.44610494,14.86459996,19.76454817
Insurance (General),1,11.11941197,11.11941197,11.22849206,15.65764138
Insurance (Life),2,23.18753049,23.18753049,23.98353319,27.43322997
Investments & Asset Management,72,20.66796088,20.66796088,23.46596891,26.21557792
Machinery,131,15.22583006,15.59077115,29.43568037,50.67320463
Metals & Mining,29,9.161265766,9.191120469,14.67778091,17.38600797
Office Equipment & Services,13,23.41463954,25.40875361,31.29338279,44.65375912
Oil/Gas (Production and Exploration),11,5.836566596,5.898469908,12.23525253,19.29856083
Oil/Gas Distribution,8,11.52514863,11.52514863,20.62998668,26.20073974
Oilfield Svcs/Equip.,23,7.922515709,7.991849567,10.85561795,15.21161194
Packaging & Container,64,6.757442528,6.80631632,10.77429171,14.1181676
Paper/Forest Products,52,9.972733715,10.01809058,20.29426915,29.32040191
